network,geoname_id,registered_country_geoname_id,represented_country_geoname_id,is_anonymous_proxy,is_satellite_provider,postal_code,latitude,longitude,accuracy_radius,is_anycast
208.114.80.0/23,4537123.0,6252001.0,,0,0,74434,35.7944,-95.2257,10.0,
24.112.117.0/24,4537123.0,6252001.0,,0,0,74434,35.7944,-95.2257,10.0,
72.196.63.128/27,4543280.0,6252001.0,,0,0,74948,35.4017,-94.6307,100.0,
212.178.228.0/22,4550374.0,6252001.0,,0,0,74955,35.4978,-94.7814,20.0,
75.110.179.0/24,4554548.0,6252001.0,,0,0,74467,35.9585,-95.354,20.0,
156.146.70.0/23,4554548.0,6252001.0,,0,0,74467,35.9585,-95.354,20.0,
140.82.149.64/26,4542367.0,6252001.0,,0,0,74501,34.9288,-95.7596,100.0,
50.118.153.220/32,4549656.0,6252001.0,,0,0,74954,35.4538,-94.5291,20.0,
170.199.162.0/23,4552280.0,6252001.0,,0,0,74960,35.8158,-94.6364,20.0,
184.186.88.0/24,4534386.0,6252001.0,,0,0,74429,35.9558,-95.65,20.0,
206.72.231.128/27,4548363.0,6252001.0,,0,0,74953,35.0606,-94.6096,10.0,
12.226.118.128/25,4547567.0,6252001.0,,0,0,74451.0,35.7961,-94.9793,100.0,
156.146.91.0/24,4537123.0,6252001.0,,0,0,74434,35.7944,-95.2257,20.0,
64.226.45.0/25,4543338.0,6252001.0,,0,0,74403,35.7445,-95.3451,20.0,
172.97.106.146/32,4538217.0,6252001.0,,0,0,74546,34.8568,-95.5828,20.0,
98.168.119.140/30,4534386.0,6252001.0,,0,0,74429,35.9558,-95.65,10.0,
76.220.96.0/20,4551934.0,6252001.0,,0,0,74959,35.2502,-94.6221,20.0,
24.112.71.0/24,4537123.0,6252001.0,,0,0,74434,35.7944,-95.2257,10.0,
66.148.47.16/28,4551934.0,6252001.0,,0,0,74959,35.2502,-94.6221,10.0,
209.213.129.0/24,4543338.0,6252001.0,,0,0,74403,35.7445,-95.3451,20.0,
156.146.83.0/24,4547567.0,6252001.0,,0,0,74451,35.7961,-94.9793,10.0,
72.203.191.0/24,4531405.0,6252001.0,,0,0,74011,35.9928,-95.8152,10.0,
144.126.180.0/22,4543280.0,6252001.0,,0,0,74948,35.4017,-94.6307,10.0,
174.128.128.0/20,4537641.0,6252001.0,,0,0,74033,35.9599,-95.9935,50.0,
64.137.160.80/28,4553567.0,6252001.0,,0,0,74574,34.6622,-95.2362,100.0,
74.112.57.0/24,4553567.0,6252001.0,,0,0,74574,34.6622,-95.2362,20.0,
209.2.88.0/23,4543338.0,6252001.0,,0,0,74403,35.7445,-95.3451,200.0,
184.21.30.60/30,4542367.0,6252001.0,,0,0,74501,34.9288,-95.7596,200.0,
207.254.254.0/23,4551934.0,6252001.0,,0,0,74959,35.2502,-94.6221,20.0,
98.96.134.0/24,4549656.0,6252001.0,,0,0,74954,35.4538,-94.5291,10.0,
72.47.147.0/24,4548363.0,6252001.0,,0,0,74953,35.0606,-94.6096,5.0,
164.58.7.32/28,4552280.0,6252001.0,,0,0,74960,35.8158,-94.6364,50.0,
209.95.123.0/26,4538428.0,6252001.0,,0,0,74436,35.8089,-95.6835,20.0,
47.217.156.0/22,4543338.0,6252001.0,,0,0,74403,35.7445,-95.3451,10.0,
47.217.154.62/31,4543338.0,6252001.0,,0,0,74403,35.7445,-95.3451,10.0,
86.63.132.0/24,4552280.0,6252001.0,,0,0,74960,35.8158,-94.6364,20.0,
69.72.104.0/23,4539163.0,6252001.0,,0,0,74441,35.9265,-95.1661,20.0,
64.137.176.128/25,4547504.0,6252001.0,,0,0,74951,35.1696,-94.6558,10.0,
86.63.134.0/23,4552280.0,6252001.0,,0,0,74960,35.8158,-94.6364,50.0,
156.110.42.128/25,4543338.0,6252001.0,,0,0,74403,35.7445,-95.3451,200.0,
67.67.24.128/25,4542367.0,6252001.0,,0,0,74501,34.9288,-95.7596,20.0,
108.219.82.0/23,4552707.0,6252001.0,,0,0,74464,35.9077,-94.9905,100.0,
66.7.138.20/30,4552280.0,6252001.0,,0,0,74960,35.8158,-94.6364,20.0,
69.72.108.0/23,4539163.0,6252001.0,,0,0,74441,35.9265,-95.1661,20.0,
181.41.136.0/22,4542367.0,3996063.0,,0,0,74501,34.9288,-95.7596,20.0,
98.142.68.0/25,4542367.0,6252001.0,,0,0,74501,34.9288,-95.7596,50.0,
